Country,Last,Previous,Reference,Unit
Algeria,-1.1,0.5,Jun/21,%
Togo,-1.1,-0.7,Sep/21,%
Malta,-0.7,-0.9,Oct/21,%
Afghanistan,-0.6,0.99,Jun/21,%
Niger,-0.4,1.1,Mar/21,%
Benin,-0.3,1.2,Oct/21,%
Japan,-0.3,0.4,Oct/21,%
Norway,-0.3,1,Oct/21,%
Bolivia,-0.23,-0.2,Oct/21,%
Somalia,-0.23,0.73,Oct/21,%
Estonia,-0.2,1.2,Oct/21,%
New Caledonia,-0.2,0.03,Oct/21,%
Vietnam,-0.2,-0.62,Oct/21,%
Seychelles,-0.19,0.16,Sep/21,%
Bahamas,-0.1,0.5,Jun/21,%
Ethiopia,-0.1,4,Oct/21,%
Rwanda,-0.1,0.2,Oct/21,%
Tanzania,-0.1,-0.1,Oct/21,%
Taiwan,-0.06,0.51,Oct/21,%
Cambodia,0,-0.05,Sep/21,%
Colombia,0.01,0.38,Oct/21,%
Macau,0.02,0.2,Oct/21,%
Jordan,0.06,0.18,Oct/21,%
Israel,0.1,0.2,Oct/21,%
South Korea,0.1,0.5,Oct/21,%
Vanuatu,0.1,-0.5,Jun/21,%
Indonesia,0.12,-0.04,Oct/21,%
United Arab Emirates,0.12,0.43,Sep/21,%
Congo,0.18,1.24,Feb/21,%
Namibia,0.19,0.35,Oct/21,%
Brunei,0.2,-0.2,Aug/21,%
Burkina Faso,0.2,1.7,Oct/21,%
Guinea,0.2,0.2,Oct/21,%
Kyrgyzstan,0.2,-0.7,Sep/21,%
Mauritania,0.2,0.7,Oct/21,%
Panama,0.2,0,Sep/21,%
Philippines,0.2,0,Oct/21,%
Saudi Arabia,0.2,0.2,Oct/21,%
South Africa,0.2,0.2,Oct/21,%
Sweden,0.2,0.5,Oct/21,%
Uganda,0.2,0.6,Oct/21,%
Ecuador,0.21,0.02,Oct/21,%
Faroe Islands,0.24,1.1,Sep/21,%
Nicaragua,0.24,0.35,Aug/21,%
Libya,0.25,0.1,Jun/21,%
Bhutan,0.26,0.23,Sep/21,%
Aruba,0.3,0.5,Aug/21,%
Bahrain,0.3,0.1,Sep/21,%
Ivory Coast,0.3,-0.1,Oct/21,%
Kuwait,0.3,0.5,Jul/21,%
Mali,0.3,2.7,Oct/21,%
Puerto Rico,0.3,0.4,Sep/21,%
Senegal,0.3,0.6,Oct/21,%
Singapore,0.3,0.4,Oct/21,%
Switzerland,0.3,0,Oct/21,%
Guatemala,0.36,0.21,Oct/21,%
Madagascar,0.36,0.4,Sep/21,%
Fiji,0.4,-0.1,Aug/21,%
France,0.4,-0.2,Oct/21,%
Iceland,0.4,0.6,Nov/21,%
Lesotho,0.4,0.4,Sep/21,%
Tajikistan,0.4,0.5,Sep/21,%
Dominican Republic,0.45,0.8,Sep/21,%
Costa Rica,0.49,0.63,Oct/21,%
Albania,0.5,0.4,Sep/21,%
Germany,0.5,0,Oct/21,%
Laos,0.5,0.6,Sep/21,%
Macedonia,0.5,-0.1,Oct/21,%
Mauritius,0.5,0.1,Oct/21,%
Mongolia,0.5,0.3,Oct/21,%
