Country name,Top exported products,Top export partners,Top imported products,Top import partners
Argentina,"['Residues from food industries', 'Cereals', 'Vehicles', 'Animal/vegetable fats and oils', 'Oilseeds', 'oleaginous fruits']","['Brazil', 'USA', 'China', 'Chile', 'Vietnam']","['Vehicles', 'Electrical machinery and equipment', 'Machinery', 'mechanical appliances', 'Mineral fuels', 'Oils', 'Plastics']","['Brazil', 'China', 'USA', 'Germany', 'Mexico']"
Bangladesh,[],[],"['Machinery and mechanical appliances', 'Vehicles', 'Mineral fuels and oils', 'Electrical machinery', 'Plastics']","['Brazil', 'Chile', 'China', 'Peru', 'Argentina']"
Bolivia,"['Mineral fuels and oils', 'Ores, slag and ash', 'Natural pearls and precious stones', 'Residues and waste from food industries', 'Tin and articles thereof']","['Brazil', 'Argentin', 'India', 'USA', 'Korea']","['Machinery and mechanical appliances', 'Vehicles', 'Mineral fuels and oils', 'Electrical machinery', 'Plastics']","['Brazil', 'Chile', 'China', 'Peru', 'Argentina']"
Brazil,[],"['China', 'USA', '>Argentina', 'Netherlands', 'Japan']","['Mineral fuels and oils', 'Electrical machinery and equipment', 'Machinery and mechanical appliances', 'Vehicles', 'Organic chemicals']","['China', 'USA', '>Argentina', 'Germany', 'South Korea']"
Chile,"['Ores, slag and ash', 'Copper and articles thereof', 'Edible fruits and nuts', 'Fish and crustaceans', 'Pulp of wood']","['China', 'USA', '>Japan', 'Korea', 'Brazil']","['Mineral fuels and oils', 'Vehicles', 'Machinery and mechanical appliances', 'Electrical machinery and equipment', 'Plastics']","['China', 'USA', 'Brazil', 'Argentina', 'Germany']"
China,"['Electrical machinery and equipment', 'Machinery and mechanical appliances', 'Furniture', 'Not knitted apparel', 'Knitted apparel']","['USA', 'Japan', 'Hong Kong', 'Vietnam', 'South Korea']","['Electrical machinery', 'Mineral fuels and oils', 'Machinery and mechanical appliances', 'Ores, slag, and ash', 'Optical, photographic and cinematographic']","['South Korea', 'Japan', 'USA', 'Taipei', 'China (Re-import)']"
Colombia,"['Mineral oils and fuels', 'Coffee, tea, mate, and species', 'Natural pearls and precious stones', 'Live trees and other plants', 'Plastics']","['USA', 'Panama', 'China', 'Netherlands', 'Mexico']","['Machinery & Mechanical Appliances', 'Electrical machinery and equipment', 'Mineral Fuels & Oils', 'Vehicles', 'Pharmaceutical Products']","['USA', 'China', 'Mexico', 'Brazil', 'Germany']"
Costa Rica,"['Optical, photographic & cinematographic', 'Edible Fruits & Nuts', 'Miscellaneous edible preparations', 'Electrical Machinery & Equipment', 'Preparations of vegetables & fruits']","['USA', 'Belgium', 'Netherlands', 'Panama', 'Nicaragua']","['Electrical Machinery & Equipment', 'Mineral Fuels & Oils', 'Machinery & Mechanical Appliances', 'Vehicles', 'Plastics']","['USA', 'China', 'Guatemala', 'Mexico', 'Germany']"
Ecuador,"['Mineral Fuels & Oils', 'Fish & Crustaceans', 'Edible fruits & nuts', 'Preparations of meat', 'Live trees & other plants']","['USA', 'Vietnam', 'Peru', 'Panama', 'Chile']","['Mineral fuels and oils', 'Machinery and mechanical appliances', 'Vehicles', 'Electrical machinery and equipment', 'Pharmaceutical Products']","['USA', 'China', 'Colombia', 'Panama', 'Brazil']"
EL Salvador,[],[],"['Mineral fuels and oils', 'Electrical machinery and equipment', 'Machinery and mechanical appliances', 'Plastics', 'Vehicles']","['USA', 'China', 'Guatemala', 'Mexico', 'Honduras']"
