Country,QuarterlyChange_people_fully_vaccinated,QuarterlyChange_total_cases,QuarterlyChange_total_deaths,YearlyChange_people_fully_vaccinated,YearlyChange_total_cases,YearlyChange_total_deaths,vaccinated_rate,QuarterlyChange_people_fully_vaccinatedRank,QuarterlyChange_total_casesRank,QuarterlyChange_total_deathsRank,YearlyChange_people_fully_vaccinatedRank,YearlyChange_total_casesRank,YearlyChange_total_deathsRank,vaccinated_rateRank
Afghanistan,7.018946288282599,0.013629860672535354,0.014436424208772891,0.0,-0.8270488339006367,-0.8928768386677836,0.08670957420113573,7,59,68,202,103,82,192
Africa,0.6417146979479886,0.04420305220084808,0.059285099830328924,0.0,-0.9162439069365056,-0.9179243182200517,0.07313480114131041,66,101,119,84,74,69,194
Albania,0.207172673039133,0.17524143160270622,0.14751667902149745,0.0,-0.8471091197716459,-0.8347085408687016,0.3339982749342658,130,171,169,83,101,103,141
Algeria,0.32415269051724516,0.0352676793257245,0.04456297315898139,0.0,-0.8001926096214641,-0.6355621542250659,0.11969150244574747,108,96,108,82,110,136,185
Andorra,0.03803436714165964,0.12435947970043348,0.007692307692307665,0.0,-0.7472937510454963,-0.9791563275434244,0.6403676603666262,195,148,54,81,125,29,64
Angola,1.7418081475506888,0.15172401604722263,0.12752114508783352,0.0,-0.4402665713163305,-0.6087419412077835,0.08134312614121733,25,161,159,80,162,140,193
Anguilla,0.007704160246533087,0.0,0.0,0.0,0.0,0.0,0.6053553719008264,215,30,31,79,199,183,77
Antigua and Barbuda,0.3331515295233578,0.2816465490560198,0.481012658227848,0.0,-0.9541639700103305,-0.895432030820033,0.5694331901790779,106,189,216,78,43,79,91
Argentina,0.3360860802628787,0.01404743706464373,0.012241814914176974,0.0,-0.968430686260886,-0.9580276471922949,0.6471270127062503,104,61,62,77,34,47,61
Armenia,2.0337875417130147,0.29354941019576075,0.42263583380334646,0.0,0.4081979515466756,0.724134333564808,0.14702196131703216,19,190,212,76,223,222,178
Aruba,0.04272441681705774,0.0,0.0,0.0,0.0,0.0,0.7276552077988712,193,35,35,75,191,176,31
Asia,0.29913220998045054,0.08291835937868353,0.08163513439156822,-0.9999999895123244,-0.7795436630185275,-0.7032476523559975,0.4805853485174418,109,121,132,236,115,129,110
Australia,0.6475071574805562,0.9747436579244455,0.5339435545385203,0.0,29.88861591583313,inf,0.7274281506162291,65,231,221,74,235,237,32
