,Country,Last,Previous,Reference,Unit,rank
0,Algeria,-1.1,0.5,Jun/21,%,1
1,Togo,-1.1,-0.7,Sep/21,%,2
2,Malta,-0.7,-0.9,Oct/21,%,3
3,Afghanistan,-0.6,0.99,Jun/21,%,4
4,Niger,-0.4,1.1,Mar/21,%,5
5,Benin,-0.3,1.2,Oct/21,%,6
6,Japan,-0.3,0.4,Oct/21,%,7
7,Norway,-0.3,1.0,Oct/21,%,8
8,Bolivia,-0.23,-0.2,Oct/21,%,9
9,Somalia,-0.23,0.73,Oct/21,%,10
10,Estonia,-0.2,1.2,Oct/21,%,11
11,New Caledonia,-0.2,0.03,Oct/21,%,12
12,Vietnam,-0.2,-0.62,Oct/21,%,13
13,Seychelles,-0.19,0.16,Sep/21,%,14
14,Bahamas,-0.1,0.5,Jun/21,%,17
15,Ethiopia,-0.1,4.0,Oct/21,%,18
16,Rwanda,-0.1,0.2,Oct/21,%,15
17,Tanzania,-0.1,-0.1,Oct/21,%,16
18,Taiwan,-0.06,0.51,Oct/21,%,19
19,Cambodia,0.0,-0.05,Sep/21,%,20
20,Colombia,0.01,0.38,Oct/21,%,21
21,Macau,0.02,0.2,Oct/21,%,22
22,Jordan,0.06,0.18,Oct/21,%,23
23,Bahrain,0.1,0.1,Aug/21,%,27
24,Israel,0.1,0.2,Oct/21,%,26
25,South Korea,0.1,0.5,Oct/21,%,24
26,Vanuatu,0.1,-0.5,Jun/21,%,25
27,Indonesia,0.12,-0.04,Oct/21,%,28
28,United Arab Emirates,0.12,0.43,Sep/21,%,29
29,Congo,0.18,1.24,Feb/21,%,30
30,Namibia,0.19,0.35,Oct/21,%,31
31,Brunei,0.2,-0.2,Aug/21,%,39
32,Burkina Faso,0.2,1.7,Oct/21,%,41
33,Guinea,0.2,0.2,Oct/21,%,40
34,Kyrgyzstan,0.2,-0.7,Sep/21,%,37
35,Mauritania,0.2,0.7,Oct/21,%,38
36,Panama,0.2,0.0,Sep/21,%,35
37,Philippines,0.2,0.0,Oct/21,%,34
38,Saudi Arabia,0.2,0.2,Oct/21,%,33
39,South Africa,0.2,0.2,Oct/21,%,32
40,Sweden,0.2,0.5,Oct/21,%,36
41,Ecuador,0.21,0.02,Oct/21,%,42
42,Faroe Islands,0.24,1.1,Sep/21,%,43
43,Nicaragua,0.24,0.35,Aug/21,%,44
44,Libya,0.25,0.1,Jun/21,%,45
45,Bhutan,0.26,0.23,Sep/21,%,46
46,Aruba,0.3,0.5,Aug/21,%,53
47,Ivory Coast,0.3,-0.1,Oct/21,%,52
48,Mali,0.3,2.7,Oct/21,%,51
49,Puerto Rico,0.3,0.4,Sep/21,%,47
50,Senegal,0.3,0.6,Oct/21,%,49
51,Singapore,0.3,0.4,Oct/21,%,48
52,Switzerland,0.3,0.0,Oct/21,%,50
53,Guatemala,0.36,0.21,Oct/21,%,54
54,Madagascar,0.36,0.4,Sep/21,%,55
55,Fiji,0.4,-0.1,Aug/21,%,60
56,France,0.4,-0.2,Oct/21,%,59
57,Iceland,0.4,0.6,Nov/21,%,56
58,Lesotho,0.4,0.4,Sep/21,%,57
59,Tajikistan,0.4,0.5,Sep/21,%,58
60,Dominican Republic,0.45,0.8,Sep/21,%,61
61,Costa Rica,0.49,0.63,Oct/21,%,62
62,Albania,0.5,0.4,Sep/21,%,70
63,Germany,0.5,0.0,Oct/21,%,69
64,Kuwait,0.5,0.34,Jun/21,%,68
65,Laos,0.5,0.6,Sep/21,%,67
66,Macedonia,0.5,-0.1,Oct/21,%,65
67,Mauritius,0.5,0.1,Oct/21,%,64
68,Mongolia,0.5,0.3,Oct/21,%,63
69,Portugal,0.5,0.9,Oct/21,%,66
70,Kenya,0.51,0.32,Oct/21,%,71
71,Honduras,0.53,0.45,Oct/21,%,72
72,Peru,0.58,0.4,Oct/21,%,73
73,Austria,0.6,0.5,Oct/21,%,78
74,Belize,0.6,0.4,Aug/21,%,79
75,Burundi,0.6,0.5,Sep/21,%,77
76,Ghana,0.6,0.3,Sep/21,%,80
77,Slovakia,0.6,0.8,Oct/21,%,75
78,Uganda,0.6,0.0,Sep/21,%,74
79,Zambia,0.6,0.4,Nov/21,%,76
80,Armenia,0.7,-0.1,Oct/21,%,92
81,Canada,0.7,0.2,Oct/21,%,91
82,China,0.7,0.0,Oct/21,%,90
83,Cyprus,0.7,-0.1,Oct/21,%,89
84,East Timor,0.7,0.1,Oct/21,%,87
85,El Salvador,0.7,0.4,Oct/21,%,88
86,Ireland,0.7,0.5,Oct/21,%,85
87,Italy,0.7,-0.2,Oct/21,%,84
88,Kazakhstan,0.7,0.4,Oct/21,%,83
89,Malaysia,0.7,0.2,Oct/21,%,82
90,Montenegro,0.7,0.5,Oct/21,%,81
91,Morocco,0.7,0.7,Oct/21,%,86
92,Thailand,0.74,1.59,Oct/21,%,93
93,Oman,0.75,-0.06,Oct/21,%,94
94,Australia,0.8,0.8,Sep/21,%,97
95,Euro Area,0.8,0.5,Oct/21,%,95
96,Finland,0.8,0.3,Oct/21,%,96
97,Guyana,0.8,3.2,Jul/21,%,98
98,Mexico,0.84,0.62,Oct/21,%,99
99,Myanmar,0.88,0.85,Jul/21,%,100
100,Mozambique,0.89,0.73,Oct/21,%,101
101,Belarus,0.9,1.3,Oct/21,%,111
102,Botswana,0.9,0.5,Oct/21,%,109
103,Denmark,0.9,0.3,Oct/21,%,108
104,European Union,0.9,0.5,Oct/21,%,107
105,Luxembourg,0.9,0.15,Oct/21,%,110
106,Serbia,0.9,0.8,Oct/21,%,105
107,Slovenia,0.9,-0.1,Oct/21,%,104
108,Tunisia,0.9,0.6,Oct/21,%,103
109,Ukraine,0.9,1.2,Oct/21,%,102
110,United States,0.9,0.4,Oct/21,%,106
111,Nigeria,0.98,1.15,Oct/21,%,112
112,Cape Verde,1.0,0.3,Oct/21,%,113
113,Croatia,1.0,1.0,Oct/21,%,114
114,Czech Republic,1.0,0.2,Oct/21,%,115
115,Kosovo,1.0,0.1,Oct/21,%,116
116,Uruguay,1.04,0.46,Oct/21,%,117
117,Egypt,1.1,0.1,Sep/21,%,123
118,Gambia,1.1,0.4,Oct/21,%,122
119,Hungary,1.1,0.2,Oct/21,%,121
120,Latvia,1.1,1.1,Oct/21,%,119
121,Poland,1.1,0.7,Oct/21,%,118
122,United Kingdom,1.1,0.3,Oct/21,%,120
123,Russia,1.11,0.6,Oct/21,%,124
124,Liberia,1.16,6.13,Aug/21,%,125
125,Sierra Leone,1.2,2.2,Sep/21,%,126
126,Sao Tome And Principe,1.23,2.0,Sep/21,%,127
127,Brazil,1.25,1.16,Oct/21,%,128
128,Chile,1.3,1.2,Oct/21,%,133
129,Georgia,1.3,0.2,Oct/21,%,132
130,Netherlands,1.3,0.1,Oct/21,%,131
131,Suriname,1.3,2.2,Sep/21,%,130
132,Uzbekistan,1.3,1.1,Oct/21,%,129
133,Qatar,1.34,0.03,Oct/21,%,134
134,India,1.41,0.18,Oct/21,%,135
135,Belgium,1.47,-0.25,Oct/21,%,136
136,Greece,1.5,2.1,Oct/21,%,137
137,Azerbaijan,1.6,1.8,Oct/21,%,138
138,Paraguay,1.6,1.0,Oct/21,%,139
139,Lithuania,1.7,1.4,Oct/21,%,140
140,Romania,1.78,0.95,Oct/21,%,141
141,Bulgaria,1.8,0.0,Oct/21,%,142
142,Spain,1.8,0.8,Oct/21,%,143
143,Pakistan,1.9,2.12,Oct/21,%,144
144,Sri Lanka,1.9,0.4,Oct/21,%,145
145,Bosnia And Herzegovina,2.0,0.8,Oct/21,%,146
146,Haiti,2.0,1.2,Jul/21,%,147
147,Angola,2.06,2.18,Oct/21,%,148
148,Moldova,2.1,1.7,Oct/21,%,149
149,Bangladesh,2.18,1.5,Sep/21,%,150
