,Country,Last,Previous,Reference,Unit,rank
0,Rwanda,-3.3,-3.2,Oct/21,%,1
1,Comoros,-2.46,-2.45,Jun/21,%,2
2,Cayman Islands,-1.0,-0.7,Mar/21,%,3
3,Chad,-0.9,-3.1,Sep/21,%,4
4,Maldives,-0.2,0.4,Sep/21,%,5
5,Bahrain,0.1,0.3,Aug/21,%,6
6,Japan,0.1,0.2,Oct/21,%,7
7,Bolivia,0.49,0.99,Oct/21,%,8
8,New Caledonia,0.63,0.9,Oct/21,%,9
9,Fiji,0.8,-0.4,Aug/21,%,11
10,Saudi Arabia,0.8,0.6,Oct/21,%,10
11,Gabon,0.9,1.3,May/21,%,12
12,Liechtenstein,0.9,0.9,Sep/21,%,13
13,Macau,0.91,0.83,Oct/21,%,14
14,United Arab Emirates,1.19,0.55,Sep/21,%,15
15,Bermuda,1.2,1.4,Jun/21,%,16
16,Switzerland,1.2,0.9,Oct/21,%,17
17,Palestine,1.28,1.72,Oct/21,%,18
18,Aruba,1.4,1.8,Aug/21,%,19
19,Malta,1.4,0.7,Oct/21,%,20
20,Ecuador,1.47,1.07,Oct/21,%,21
21,China,1.5,0.7,Oct/21,%,22
22,Afghanistan,1.56,1.35,Jun/21,%,23
23,Jordan,1.6,1.85,Oct/21,%,24
24,Indonesia,1.66,1.6,Oct/21,%,25
25,Hong Kong,1.7,1.4,Oct/21,%,26
26,Morocco,1.7,1.2,Oct/21,%,27
27,Vietnam,1.77,2.06,Oct/21,%,28
28,Portugal,1.8,1.5,Oct/21,%,29
29,Brunei,1.9,1.5,Aug/21,%,30
30,Uganda,1.9,2.2,Oct/21,%,31
31,Libya,2.08,1.48,Jun/21,%,32
32,Trinidad and Tobago,2.2,1.8,Jul/21,%,33
33,Benin,2.3,3.0,Oct/21,%,35
34,Israel,2.3,2.5,Oct/21,%,34
35,Thailand,2.38,1.68,Oct/21,%,36
36,Cameroon,2.39,2.22,Jun/21,%,37
37,Albania,2.4,2.5,Oct/21,%,38
38,Vanuatu,2.4,5.2,Jun/21,%,39
39,Costa Rica,2.5,2.09,Oct/21,%,40
40,Djibouti,2.55,2.55,Oct/21,%,41
41,Taiwan,2.58,2.63,Oct/21,%,42
42,France,2.6,2.2,Oct/21,%,43
43,Bahamas,2.7,2.4,Jun/21,%,44
44,Sweden,2.8,2.5,Oct/21,%,45
45,Malaysia,2.9,2.2,Oct/21,%,47
46,Mali,2.9,4.7,Oct/21,%,46
47,Panama,2.94,2.49,Oct/21,%,48
48,Cambodia,2.96,3.4,Sep/21,%,49
49,Guatemala,2.96,3.67,Oct/21,%,50
50,Australia,3.0,3.8,Sep/21,%,51
51,Denmark,3.0,2.2,Oct/21,%,52
52,Equatorial Guinea,3.0,1.2,Dec/20,%,53
53,Italy,3.0,2.5,Oct/21,%,54
54,Slovenia,3.0,2.4,Oct/21,%,55
55,Faroe Islands,3.1,3.1,Sep/21,%,56
56,Finland,3.2,2.5,Oct/21,%,60
57,Senegal,3.2,3.0,Oct/21,%,59
58,Singapore,3.2,2.5,Oct/21,%,58
59,South Korea,3.2,2.5,Oct/21,%,57
60,Swaziland,3.3,3.6,Oct/21,%,61
61,Papua New Guinea,3.31,4.65,Jun/21,%,62
62,Oman,3.35,2.46,Oct/21,%,63
63,Kuwait,3.36,3.2,Jun/21,%,64
64,Greece,3.4,2.2,Oct/21,%,65
65,Netherlands,3.4,2.7,Oct/21,%,66
66,Norway,3.5,4.1,Oct/21,%,67
67,Puerto Rico,3.5,3.3,Sep/21,%,68
68,Luxembourg,3.6,2.7,Oct/21,%,70
69,Namibia,3.6,3.5,Oct/21,%,69
70,Austria,3.7,3.3,Oct/21,%,71
71,Barbados,3.7,2.9,Jul/21,%,72
72,Cape Verde,3.8,2.7,Oct/21,%,73
73,Croatia,3.8,3.3,Oct/21,%,74
74,Montenegro,3.8,2.9,Oct/21,%,75
75,Belize,3.9,3.3,Aug/21,%,76
76,Burkina Faso,3.9,4.4,Oct/21,%,77
77,Niger,3.9,4.7,Mar/21,%,78
78,Tanzania,4.0,4.0,Oct/21,%,79
79,Euro Area,4.1,3.4,Oct/21,%,81
80,Macedonia,4.1,3.7,Oct/21,%,80
81,Algeria,4.12,5.21,Jun/21,%,82
82,Belgium,4.16,2.86,Oct/21,%,83
83,Laos,4.17,3.81,Sep/21,%,84
84,Cuba,4.2,5.6,Dec/20,%,85
85,United Kingdom,4.2,3.1,Oct/21,%,86
86,Nepal,4.24,3.49,Oct/21,%,87
87,Qatar,4.28,2.71,Oct/21,%,88
88,Bosnia and Herzegovina,4.3,3.0,Oct/21,%,90
89,Cyprus,4.3,4.08,Oct/21,%,89
90,Guinea Bissau,4.3,4.9,Sep/21,%,91
91,European Union,4.4,3.6,Oct/21,%,92
