Country,QuarterlyChangeIMP,YearlyChangeIMP,IMP,QuarterlyChangeEXP,YearlyChangeEXP,EXP,QuarterlyChangeNTRADE,YearlyChangeNTRADE,NTRADE,QuarterlyChangeIMPRank,YearlyChangeIMPRank,IMPRank,QuarterlyChangeEXPRank,YearlyChangeEXPRank,EXPRank,QuarterlyChangeNTRADERank,YearlyChangeNTRADERank,NTRADERank
Argentina,0.08329246816580871,-0.6774414471491397,15.99373,0.13657246688814495,-3.3181444341585604,21.461,0.3275853653857781,-1.336279419250312,5.467274,6,17,37,2,45,33,15,33,15
Australia,-0.055201367053692496,-1.5869468050523745,59.06591,0.03633005281930113,-0.6960935689986385,91.46391,0.2587821190542521,0.03138466320569311,32.39686,44,42,18,16,20,16,17,15,5
Austria,-0.025746121514393372,-1.3714294181072644,54.13051,-0.005267545831667886,-1.1048108663659768,50.24323,-0.23082045122205974,-1.096463435489344,-3.888258,37,37,20,32,32,24,36,29,34
Belgium,0.011590296711916359,-0.8658972042905242,126.2579,0.014250399775918021,-0.8324766871827013,136.8737,0.04699732723166283,-0.26451975881216394,10.61582,23,24,12,25,26,10,27,17,13
Brazil,-0.015484161038046063,-1.05760184528418,53.99839,-0.07079061508174822,-6.956449286929773,73.02887,-0.19854149180389313,-0.5873523270477978,19.03048,32,31,21,45,46,19,35,24,7
Canada,0.004396186440678074,-0.9122293238473359,121.3632,0.017175474064687668,-0.668383361138842,126.1855,0.4930465756492053,30.80324020886569,4.827466,27,26,13,23,19,11,12,1,17
Switzerland,0.004785487853286252,-0.8636910522778466,54.52374,0.0351976728092942,-0.053522165958092116,72.40363,0.14095664399214525,2.032060377146618,17.8783,26,23,19,17,7,20,19,11,9
Chile,0.08386684691243174,0.27924603118588576,21.85624,0.043838997638795174,-0.22448035274973221,24.08004,-0.23414346705918043,-7.991696348491062,2.2238,5,3,34,14,9,32,37,41,19
China,-0.06204838231805554,-3.4182963162413915,663.8588,0.015569061501225612,-0.7067716010598446,835.7587,0.4925610678373309,2.3243069480722127,171.8999,45,46,2,24,21,1,13,7,1
Colombia,0.11237339222384124,-0.15324863528293553,15.50396,0.09768865142466354,0.3934294085081145,10.07057,0.1406557094842118,-0.5208166745843816,-5.433388,2,8,38,5,6,41,20,22,35
Costa Rica,-0.10451301159273663,-2.0433074044219133,5.020032,0.06180657663427569,-0.4719602865989261,4.002121,-0.4458122500356606,-67.6381680843367,-1.017911,46,45,44,10,13,44,43,46,29
Czech Republic,-0.04291902091970756,-1.4446046039305322,52.10903,-0.06963760178698208,-1.6289323571101726,54.46241,-0.4278102261343605,-3.0862616683983832,2.357843,42,39,22,44,39,23,41,36,18
Germany,-0.021646028211674828,-1.2857169774026438,347.5534,-0.019023307452571525,-1.2317333921735463,398.5827,-0.0010893288841309356,-1.0095228546547534,51.02168,35,35,3,36,35,3,31,28,3
Denmark,-0.029114643337329604,-1.5144152725576046,29.86622,-0.055522856767657114,-2.437082670602046,29.99139,-0.8752417922390537,4.699554924650491,0.1240463,39,41,27,42,44,30,45,5,21
Spain,0.018789435451924463,-0.7819592828534025,103.6442,0.02479403106738065,-0.7243232579585686,96.60265,-0.05691564557789375,1.4465014782825074,-7.041346,19,22,14,19,22,15,32,12,37
Estonia,0.10850939403289162,0.013266574519523067,0.0,0.07433266475148992,-0.4814268536643541,0.0,0.5129071262042986,-2.2959779256985655,0.0,3,6,46,6,15,46,11,34,22
Finland,0.04561029626843838,3.3482323512399086,21.51935,0.06556888958582507,-0.4807944901338477,20.79349,-0.31976901378366396,-0.8223962413761293,-0.7260942,14,1,35,8,14,34,39,27,26
France,0.016621602685001458,-0.5832713586893576,177.017,0.009855177598875109,-0.8940386764462538,145.3325,0.048765690148061536,-1.2412986445460268,-31.68576,21,16,6,28,28,8,26,31,43
United Kingdom,0.005989819381393424,-0.9674247012914893,160.0395,-0.04456993559013611,-1.3393719279810825,106.2679,0.12266281784508282,-0.5884532208150721,-53.77986,25,30,7,40,36,13,23,25,45
Greece,0.05474370100677439,0.29068640770806686,19.42127,0.023161925734338062,-0.7687469598321794,11.82016,0.10761471059838645,-3.134050765371707,-7.600533,11,2,36,21,24,38,25,37,39
Hungary,-0.011023234213014432,-1.119211353305622,34.4551,-0.06560105231347402,-1.6684415170956561,33.48627,-1.9706818874275132,-12.207822209632917,-0.9688307,31,32,26,43,40,28,46,42,27
Indonesia,-0.021939092234959268,-1.2095766808911133,47.75444,0.06485231317147044,-0.49494542257401297,58.50108,0.7581207143696163,2.205351392091903,10.74665,36,34,23,9,16,21,8,8,12
India,0.2004200086147403,-0.00951658361695118,149.9351,0.06996856751878267,4.042938157229911,104.1018,0.6601493410412582,-0.4213918592521023,-45.83332,1,7,9,7,2,14,9,21,44
Ireland,-0.041359354241646606,-1.3375281232770875,29.01463,-0.016325919842131276,-0.32352866878677866,46.27858,0.029313603329140125,-1.143759005663758,17.26478,40,36,28,34,10,26,29,30,10
Iceland,-0.02110066712873848,-1.389731471294138,1.951845,0.0244839275865123,-0.6665981323974524,1.549116,-0.1582213237279263,15.054202343939195,-0.4031486,34,38,45,20,18,45,34,3,24
Israel,0.007251673550004112,-0.9450977868913444,22.2961,-0.05213015499156959,-1.8284258515058536,13.79562,0.12125153668792965,-0.5774295420597519,-8.500477,24,27,33,41,42,37,24,23,40
Italy,0.020281051196830102,-0.763488011419499,138.6313,-0.015131285869477318,-1.1805723595694024,151.2195,-0.2880567850612792,-4.862259292803474,12.58465,18,21,10,33,33,7,38,39,11
Japan,0.03890343173103883,-0.44624150000689067,197.6039,-0.0032125368114173103,-1.0217619883295421,188.8367,10.403335963576446,4.515441043966124,-8.764872,17,15,4,31,29,5,2,6,41
South Korea,0.04631853933805452,0.2730308048577972,158.848,0.056711789457933204,-0.21789079724717664,163.8364,0.5455931007088544,0.4626279352763929,4.988343,13,4,8,11,8,6,10,14,16
Lithuania,0.050242325885133665,-0.38371658485224425,11.37027,-0.0032083399084741338,-1.0539806282112076,10.10667,0.8443762930161689,-0.3358097119842067,-1.263357,12,13,41,30,31,40,7,20,30
Luxembourg,-0.0030096691613070714,-0.8920131731270105,6.427485,0.027583824057463513,1.952224426102405,4.318383,-0.05993719816452825,-0.3339367994868352,-2.109092,30,25,43,18,4,43,33,19,32
Latvia,0.0649196677729893,-0.18269054623963654,6.44926,0.0523243344760147,-0.32556829197834847,5.446353,0.13983919352738838,0.5192339327368007,-1.00333,9,10,42,13,11,42,21,13,28
Mexico,0.043737124287100526,-0.6800354450251334,129.4973,-0.002228736795511832,-1.0312965654123216,121.9493,3.082076423234697,-13.05961614854649,-7.547943,15,18,11,29,30,12,4,44,38
Netherlands,0.017974861209918647,-0.7363520835714794,190.1688,0.020633262673997788,-0.7588055435771678,212.4293,0.043686140303408116,-0.7967634972108221,22.25668,20,19,5,22,23,4,28,26,6
Norway,-0.020070521384385365,-1.9410910750063133,24.60892,0.2234742029328327,1.3574419562911593,42.61921,0.8485249943578459,-1.2893379185058815,17.97856,33,44,30,1,5,27,6,32,8
New Zealand,0.07746557669987242,-0.22608415822898964,12.90362,-0.018875603152208265,-1.6177566703744328,11.25853,2.298297212007616,-4.13855551796394,-1.644279,7,11,40,35,38,39,5,38,31
Poland,0.004234114329093819,-0.9513985889302332,85.28407,-0.020125806357935927,-1.198868525775779,83.00626,10.83859367801928,28.19553771464372,-2.276867,28,29,15,37,34,17,1,2,33
Portugal,0.03934080740580925,-0.41084917070698657,24.42163,0.0132082231473718,-0.8154802621242506,18.69356,0.13507797624804008,2.0453719074444447,-5.727776,16,14,31,26,25,35,22,10,36
Russia,-0.04136754482391114,-1.7787756703135673,76.70743,0.12220987901145386,3.279807820103599,139.2043,0.41950322175178156,-12.38480154573927,62.49688,41,43,16,3,3,9,14,43,2
