Country,QuarterlyUnemploymentRateChange,QuarterlyUnemploymentRate,YearlyUnemploymentRateChange,YearlyUnemploymentRate,QuarterlyUnemploymentRateChangeRank,QuarterlyUnemploymentRateRank,YearlyUnemploymentRateChangeRank,YearlyUnemploymentRateRank
Australia,-0.10733317141885657,4.594333,0.2525571263420454,6.461837,12,16,27,20
Austria,-0.14000009299999527,5.733333,0.2444061105400268,6.025,6,21,25,18
Belgium,-0.005263105540163515,6.3,0.03260869362678909,5.5416669999999995,37,23,6,15
Canada,-0.10788384996814526,7.1666669999999995,0.6671512015785581,9.558333,11,29,36,32
Switzerland,-0.014738872762769195,0.0,0.0957743991742317,4.815328,36,2,9,13
Chile,-0.10344461711169861,8.213204,0.4911777411029763,10.77024,14,32,32,33
Colombia,-0.12230787817267097,13.00422,0.5300303461356095,16.13417,10,35,34,36
Costa Rica,-0.14387378537972295,15.20011,0.6726712823344518,19.68985,4,38,37,38
Czech Republic,-0.13043476843100343,2.666667,0.2644626009152724,2.55,8,4,28,1
Germany,-0.04629638888888887,3.433333,0.21693111111111119,3.833333,32,10,22,4
Denmark,-0.10596020569272879,4.5,0.11696877212314805,5.65,13,15,11,16
Spain,-0.036876564668858025,14.8,0.10100415853612721,15.53333,33,37,10,35
Estonia,-0.05670107955149084,6.1,0.49632356590614446,6.783333,25,22,33,23
Finland,-0.0696720520357399,7.566667,0.14585902863490596,7.725,20,30,16,25
France,-0.03658536585365846,7.9,-0.047430713337182295,8.033334,34,31,3,26
United Kingdom,-0.09754218693604777,4.263134,0.18728057052511282,4.551465,15,14,20,10
Greece,-0.14166687500000008,13.733329999999999,-0.05144193296960242,16.441670000000002,5,36,2,37
Hungary,-0.04838710067637908,3.933333,0.25,4.125,31,11,26,7
Ireland,-0.08490565637237468,6.466667,0.1758793969849246,5.85,16,25,18,17
Iceland,-0.14659695567555198,5.433333,0.6355932742028199,6.433333,3,19,35,19
Israel,-0.048891848474813204,5.046149,0.13815789473684226,4.325,29,17,15,8
Italy,-0.05460737574111796,9.233334,-0.07398164588528677,9.283334,27,34,1,31
Japan,-0.034482758620689724,2.8,0.1808510638297871,2.775,35,5,19,2
South Korea,-0.18750001674107286,3.0333330000000003,0.041850400163030654,3.941667,1,6,7,6
Lithuania,-0.05726880804983214,7.133333,0.3554376315882035,8.516666,24,27,31,30
Luxembourg,-0.08333333333333337,5.5,0.19672129974835761,6.691667,17,20,21,21
Latvia,-0.08154514671480051,7.133333,0.28401591989516084,8.1,18,28,30,28
Mexico,-0.06397642681041238,4.072998,0.2686022354617721,4.433232,21,13,29,9
Netherlands,-0.050505151515151336,3.1333330000000004,0.12745088235294122,3.833333,28,7,14,5
Norway,0.027777708333333484,0.0,0.24324324324324298,4.6,38,3,24,12
New Zealand,-0.15000000000000002,3.4,0.12195121951219523,4.6,2,9,13,11
Poland,-0.05555555555555558,3.4,-0.03807106985493092,3.1583330000000003,26,8,5,3
Portugal,-0.07211538808247053,6.433333,0.06616734082397002,7.116667,19,24,8,24
Slovakia,-0.06249995492788252,6.5,0.16184964382372002,6.7,22,26,17,22
Slovenia,-0.12592599999999998,3.933333,0.11940290153709676,5.0,9,12,12,14
Sweden,-0.0579709782608695,8.666667,0.2253694470261356,8.291667,23,33,23,29
Turkey,-0.04884368924326754,0.0,-0.04366281536378036,13.141670000000001,30,1,4,34
United States,-0.13483146824895886,5.133333,1.2068177993802003,8.091666,7,18,38,27
